year,month,day,obs_temp,fc_temp
2023,12,16,21,19
2023,12,17,19,18
2023,12,17,19,18
2023,12,17,,
2023,12,17,,
2023,12,17,,
2023,12,17,,
2023,12,17,,
2023,12,17,,
/home/vale6811/Desktop/Coursera/Introduction_to_bash_Scripting/exercise1.sh: line 17: curl: command not found
2023,12,17,,
/home/vale6811/Desktop/Coursera/Introduction_to_bash_Scripting/exercise1.sh: line 17: curl: command not found
2023,12,17,19,18
2023,12,17,19,18
2023,12,17,19,18
2023,12,17,,
2023,12,18,,1617
2023,12,19,,
2023,12,20,,18
